,region_name,region_id,week,date,inc,inc_w1,inc_w2,inclow,inclow_w1,inclow_w2,inctop,inctop_w1,inctop_w2,inc100,inc100_w1,inc100_w2,inc100low,inc100low_w1,inc100low_w2,inc100top,inc100top_w1,inc100top_w2,C6H6,C6H6_w1,C6H6_w2,CO,CO_w1,CO_w2,NO,NO_w1,NO_w2,NO2,NO2_w1,NO2_w2,NOXasNO2,NOXasNO2_w1,NOXasNO2_w2,O3,O3_w1,O3_w2,PM10,PM10_w1,PM10_w2,PM2p5,PM2p5_w1,PM2p5_w2,SO2,SO2_w1,SO2_w2,pmer,pmer_w1,pmer_w2,dirv,dirv_w1,dirv_w2,vitv,vitv_w1,vitv_w2,temp,temp_w1,temp_w2,hum,hum_w1,hum_w2,pst,pst_w1,pst_w2,r1,r1_w1,r1_w2,tempc,tempc_w1,tempc_w2
0,Provence-Alpes-Côte d'Azur,1,202103,2021-01-15,6049,5503.0,7809.0,3153,2841.0,4585.0,8945,8165.0,11033.0,118,107.0,152.0,62,55.0,89.0,174,159.0,215.0,1.5941,2.0337,1.0793,0.3895,0.6315,0.3524,13.0644,18.4382,5.0886,20.6274,24.1096,13.1055,40.6926,52.4138,20.9458,44.3517,34.0931,43.1983,17.9826,20.3504,9.2224,12.795,16.3312,8.1706,2.414,2.284,1.6846,101744.46,101123.57,100442.81,231.24,202.41,167.66,5.59,4.3,5.54,277.2095,275.5565,277.35,70.4464,68.3512,78.9583,98113.3929,97461.5476,96825.8333,0.0,0.0244,0.3417,4.0595,2.4065,4.2
1,Île-de-France,2,202103,2021-01-15,13522,10895.0,12117.0,9368,6939.0,7913.0,17676,14851.0,16321.0,110,88.0,98.0,76,56.0,64.0,144,120.0,132.0,,,,0.4394,0.4617,0.5215,23.8109,29.3736,38.1261,32.6228,33.7969,40.9678,69.2218,78.9549,99.5258,35.2102,12.126,14.213,19.6603,28.0283,37.0965,14.6566,22.3513,31.3769,1.114,1.383,1.5504,102236.55,101853.21,101459.38,232.36,132.86,173.75,4.31,3.16,1.81,277.5991,275.1375,274.7,87.5455,87.3214,89.625,101115.4545,100725.8929,100334.375,0.063,0.0143,0.0063,4.4491,1.9875,1.55
2,Centre-Val de Loire,3,202103,2021-01-15,2333,2158.0,2127.0,1221,1214.0,1110.0,3445,3102.0,3144.0,89,82.0,81.0,47,46.0,42.0,131,118.0,120.0,,,,0.2896,0.3517,0.4036,8.8666,12.6996,8.2388,15.1976,19.441,17.2478,28.6156,38.7658,29.9004,45.5078,18.7374,27.3105,13.54,23.0995,26.4421,10.8127,20.4465,23.4665,,,,102459.91,101786.43,101447.19,252.59,159.91,172.19,3.84,2.36,1.54,277.8205,274.1464,273.8469,89.2054,89.9732,91.0938,100732.2321,100046.4286,99711.25,0.0857,0.0054,0.0094,4.6705,0.9964,0.6969
3,Bretagne,4,202103,2021-01-15,2560,2368.0,1786.0,1346,1176.0,818.0,3774,3560.0,2754.0,75,69.0,52.0,40,34.0,24.0,110,104.0,80.0,,,,,,,9.2824,16.7672,12.3678,17.029,22.3772,19.903,31.8228,49.0072,39.6589,51.9078,22.415,31.9518,14.452,21.2877,16.705,9.3156,19.6694,17.2335,,,,102571.52,101950.04,101559.69,259.38,129.42,173.59,5.25,3.53,3.59,281.4317,276.2036,276.9734,84.9598,85.0357,87.8906,101843.5268,101212.5,100827.3438,0.0238,0.0449,0.2776,8.2817,3.0536,3.8234
4,Occitanie,5,202103,2021-01-15,5927,5139.0,5011.0,3972,3279.0,2667.0,7882,6999.0,7355.0,99,86.0,83.0,66,55.0,44.0,132,117.0,122.0,,,,,,,8.6035,19.8155,5.5247,17.1559,24.76,13.4787,29.3219,54.5324,21.026,48.4938,31.7306,45.8248,14.6421,25.2815,12.5724,10.1921,18.8847,10.6729,0.4993,0.0633,0.3115,102653.11,101468.09,101182.14,250.51,176.02,249.55,4.6,2.3,4.24,277.874,273.474,274.4063,77.2526,78.8546,75.7857,99228.1378,98037.398,97767.2321,0.0308,0.0353,0.006,4.724,0.324,1.2563
5,Hauts-de-France,6,202103,2021-01-15,3845,2972.0,3242.0,2269,1475.0,1535.0,5421,4469.0,4949.0,63,49.0,53.0,37,24.0,25.0,89,74.0,81.0,0.9851,1.3636,1.0716,0.3059,0.3075,0.2834,8.1517,10.5182,11.15,21.7386,21.7898,19.4125,34.2317,37.9128,36.5069,32.4024,15.7228,20.1799,16.6794,19.7551,21.3886,13.7157,17.8316,21.8649,1.9708,2.0996,2.21,102055.89,101924.82,101484.38,205.18,141.88,133.13,4.22,2.51,1.89,276.7946,274.4786,275.2031,92.0536,92.4732,94.7813,101312.4107,101174.8214,100739.375,0.375,0.0054,0.0031,3.6446,1.3286,2.0531
6,Corse,7,202103,2021-01-15,127,197.0,166.0,14,66.0,49.0,240,328.0,283.0,37,57.0,48.0,4,19.0,14.0,70,95.0,82.0,,,,0.6128,0.6286,0.4326,6.4311,6.821,1.8338,12.5697,12.8849,8.0344,22.3059,23.1805,10.7908,46.2238,47.6159,55.739,13.9604,9.8413,8.1906,6.6491,4.2537,3.5262,1.538,1.3149,1.0097,101524.29,101048.13,100442.5,134.73,160.27,145.0,2.62,2.64,2.97,281.1652,280.2616,281.6188,76.8304,78.9821,78.5625,101394.8214,100918.5714,100314.375,0.0438,0.1652,0.1313,8.0152,7.1116,8.4688
7,Nouvelle-Aquitaine,8,202103,2021-01-15,4238,3547.0,4166.0,2828,2266.0,2770.0,5648,4828.0,5562.0,69,58.0,68.0,46,37.0,45.0,92,79.0,91.0,,,,,,,8.7126,15.9935,6.8988,16.7522,18.7385,12.398,30.0733,43.2085,22.9478,42.3704,23.9696,38.9691,15.5389,22.9712,15.9129,11.1974,20.9436,14.186,1.0943,1.1914,0.9308,102752.82,101659.88,101427.06,228.8,106.05,167.03,4.03,3.4,3.18,278.5133,274.0426,274.6053,87.5063,84.9741,86.35,101090.4375,100025.3036,99787.1563,0.0841,0.0005,0.08,5.3633,0.8926,1.4553
8,Pays de la Loire,9,202103,2021-01-15,5544,6036.0,3057.0,3258,3673.0,1636.0,7830,8399.0,4478.0,143,156.0,79.0,84,95.0,42.0,202,217.0,116.0,1.2141,1.5991,1.536,0.3538,0.4243,0.4297,5.8136,10.8805,8.1056,13.3645,17.2867,16.419,22.2541,33.9351,28.8199,47.591,17.5305,25.3223,16.2408,26.7422,26.2631,12.1244,23.9631,22.4196,0.507,0.3651,0.142,102613.21,101843.39,101470.0,254.29,86.96,156.88,3.57,2.82,1.78,279.4839,274.4268,274.2375,88.8393,86.5893,92.3125,102288.75,101514.6429,101143.75,0.0536,0.0018,0.1875,6.3339,1.2768,1.0875
9,Auvergne-Rhône-Alpes,10,202103,2021-01-15,6542,7109.0,5970.0,4587,4625.0,4223.0,8497,9593.0,7717.0,80,87.0,73.0,56,57.0,52.0,104,117.0,94.0,1.6058,2.9026,3.6397,0.4448,0.4368,0.2906,14.0875,11.2225,3.3749,24.807,22.0978,11.5792,8.6406,7.8343,4.3003,32.3437,25.0941,37.8412,17.2862,20.8561,11.2722,15.3715,18.8182,10.3045,3.0783,1.8732,2.3643,102399.32,101548.75,101090.63,189.61,174.42,214.53,3.96,2.81,4.97,275.6853,272.5018,273.4594,80.8586,81.6563,80.5938,97888.6161,97056.6518,96639.375,0.0866,0.018,0.0099,2.5353,-0.6482,0.3094
